192.168.11.128    2023-11-21_16:43:44	 regular_user	 qwe        103	 eeerrr
192.168.11.128    2023-11-21_16:44:39	 regular_user	 qwe        103	 rrrtt
192.168.11.128    2023-11-21_16:45:00	 Administrator	 admin      103	 tttrrr
192.168.11.128    2023-11-21_16:46:05	 regular_user	 qwe        103	 @hello_asd
192.168.11.128    2023-11-21_16:46:28	 regular_user	 qwe        104	 @asd/hello
192.168.11.128    2023-11-21_16:47:37	 Administrator	 admin      103	 kjt
192.168.11.128    2023-11-21_16:48:18	 Administrator	 admin      103	 肃静
192.168.11.128    2023-11-21_16:48:46	 regular_user	 qwe        103	 好的
192.168.11.128    2023-11-21_16:49:03	 regular_user	 asd        103	 好哒
192.168.11.128    2023-11-21_16:49:57	 Administrator	 admin      107	 #quit
192.168.11.128    2023-11-21_16:50:15	 regular_user	 qwe        107	 #quit
192.168.11.128    2023-11-21_16:50:32	 regular_user	 asd        107	 #quit
192.168.11.128    2023-11-21_17:24:26	 Administrator	 admin      105	 #help
192.168.11.128    2023-11-21_17:27:39	 Administrator	 admin      105	 #help
192.168.11.128    2023-11-21_17:36:02	 regular_user	 qwe        105	 #help
192.168.11.128    2023-11-21_17:36:26	 Administrator	 admin      105	 #help
192.168.11.128    2023-11-21_17:36:43	 Administrator	 admin      106	 #online
192.168.11.128    2023-11-21_17:54:32	 Administrator	 admin      104	 @qwe/#out
192.168.11.128    2023-11-21_18:00:35	 Administrator	 admin      103	 tttrrr
192.168.11.128    2023-11-21_18:00:51	 Administrator	 admin      109	 @qwe/#out
192.168.11.128    2023-11-21_18:07:24	 regular_user	 asd        103	 ttt666
192.168.11.128    2023-11-21_18:07:34	 Administrator	 admin      109	 @qwe/#out
192.168.11.128    2023-11-21_18:08:14	 Administrator	 admin      109	 @asd/#out
192.168.11.128    2023-11-21_18:17:30	 Administrator	 admin      103	 ttt666
192.168.11.128    2023-11-21_18:17:54	 Administrator	 admin      110	 @qwe/#mute
192.168.11.128    2023-11-21_18:18:04	 regular_user	 qwe        103	 tttrrr
192.168.11.128    2023-11-21_18:20:36	 Administrator	 admin      111	 @qwe/#unmute
192.168.11.128    2023-11-21_18:20:36	 regular_user	 qwe        103	 777uuu
192.168.11.128    2023-11-21_18:20:36	 regular_user	 qwe        103	 jjjuuu
192.168.11.128    2023-11-21_18:20:36	 regular_user	 qwe        103	 jjjhhjh
